episode,score,duration_sec
1,728.203,6.232
2,937.936,7.968
3,638.335,5.480
4,617.385,5.304
5,625.000,5.368
6,645.960,5.544
7,638.335,5.480
8,937.936,7.968
9,1261.267,10.592
10,715.740,6.128
