episode,score,duration_sec
1,729.162,6.240
2,935.014,7.944
3,739.718,6.328
4,1043.539,8.832
5,595.517,5.120
6,598.368,5.144
7,944.755,8.024
8,963.283,8.176
9,611.677,5.256
10,627.856,5.392
11,620.240,5.328
12,630.713,5.416
13,1174.739,9.896
14,722.449,6.184
15,627.856,5.392
16,630.713,5.416
17,593.617,5.104
18,815.764,6.960
19,644.054,5.528
20,619.289,5.320
