episode,score,duration_sec
1,7179.097,50.051
2,3079.432,24.195
3,4950.803,36.629
4,2493.879,20.020
5,2223.326,18.027
6,3956.741,30.178
7,2428.876,19.545
8,5490.445,40.002
9,4852.310,36.004
10,2331.920,18.832
11,1747.050,14.415
12,2295.800,18.565
13,2285.537,18.489
14,1542.195,12.820
15,3377.959,26.264
16,2507.193,20.117
17,6580.764,46.572
18,2729.671,21.723
19,1983.383,16.224
20,2409.781,19.405
21,2201.046,17.861
22,6009.390,43.168
23,5903.186,42.526
24,2115.509,17.221
25,6546.979,46.373
26,3488.759,27.023
27,2457.026,19.751
28,2435.567,19.594
29,1519.405,12.641
30,2017.576,16.483
31,5706.818,41.331
32,2408.419,19.395
33,656.237,5.630
34,2248.604,18.215
35,5986.851,43.032
36,1984.438,16.232
37,3052.276,24.005
38,2314.321,18.702
39,2406.919,19.384
40,2303.097,18.619
41,4519.855,33.872
42,2031.067,16.585
43,3903.338,29.822
44,4428.817,33.282
45,967.343,8.209
46,1001.796,8.491
47,3419.191,26.547
48,1809.209,14.894
49,2701.475,21.521
50,2789.056,22.147
51,4816.496,35.776
52,2204.802,17.889
53,3120.249,24.480
54,2603.551,20.816
55,3858.005,29.519
56,2138.575,17.394
57,2401.606,19.345
58,5593.727,40.638
59,2415.643,19.448
60,2394.936,19.296
61,2027.495,16.558
62,4434.976,33.322
63,2407.600,19.389
64,2343.847,18.920
65,6022.990,43.250
66,2425.328,19.519
67,1293.034,10.846
68,2403.649,19.360
69,7074.349,49.448
70,6012.872,43.189
71,3087.874,24.254
72,5522.709,40.201
73,2922.668,23.094
74,2619.751,20.933
75,5720.075,41.412
76,6379.437,45.382
77,5784.504,41.805
78,6074.812,43.562
79,2501.563,20.076
80,2697.572,21.493
81,4372.398,32.915
82,2822.933,22.388
83,2422.463,19.498
84,3710.803,28.530
85,3690.060,28.390
86,5335.144,39.040
87,2680.021,21.367
88,1986.415,16.247
89,2200.778,17.859
90,4492.654,33.696
91,2259.646,18.297
92,3420.650,26.557
93,2698.826,21.502
94,2234.883,18.113
95,4344.480,32.733
96,4002.315,30.481
97,2636.110,21.051
98,2413.053,19.429
99,5544.136,40.333
100,6355.191,45.238
