episode,score,duration_sec
1,735.304,6.291
2,643.003,5.519
3,654.448,5.615
4,599.101,5.150
5,597.200,5.134
6,736.624,6.302
7,641.097,5.503
8,938.943,7.976
9,607.656,5.222
10,640.263,5.496
11,712.171,6.098
12,622.879,5.350
13,624.545,5.364
14,615.622,5.289
15,630.377,5.413
16,1158.929,9.768
17,734.584,6.285
18,713.728,6.111
19,632.402,5.430
20,735.304,6.291
21,746.705,6.386
22,631.092,5.419
23,619.547,5.322
24,944.910,8.025
25,628.354,5.396
26,721.396,6.175
27,637.642,5.474
28,732.545,6.268
29,620.618,5.331
30,734.224,6.282
31,1160.291,9.779
32,1158.063,9.761
33,636.808,5.467
34,654.567,5.616
35,739.863,6.329
36,634.664,5.449
37,718.280,6.149
38,639.786,5.492
39,870.563,7.413
40,655.163,5.621
41,959.049,8.141
42,734.704,6.286
43,971.615,8.244
44,644.552,5.532
45,946.251,8.036
46,716.723,6.136
47,642.169,5.512
48,1495.257,12.451
49,631.568,5.423
50,950.759,8.073
